pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta,aciertos,fallos,veces_preguntada,porcentaje_aciertos
Cuál fue la primera selección en derrotar a Argentina en un Mundial?,Uruguay,Brasil,Inglaterra,Estados Unidos,4,3,6,9,33.33333333333333
Quién dirigió a Argentina en el Mundial de 2014?,César Luis Menotti,Alejandro Sabella,Lionel Scaloni,Carlos Bilardo,2,3,4,7,42.857142857142854
Qué equipo argentino tiene el estadio apodado 'El Cilindro'?,Boca Juniors,River Plate,Racing Club,Independiente,3,1,2,3,33.33333333333333
En qué club jugó Diego Maradona antes de ir a Europa?,Argentinos Juniors,Boca Juniors,Newell's Old Boys,River Plate,1,1,4,5,20.0
En qué año se jugó el Mundial en Brasil donde Argentina fue subcampeón?,2010,2014,2018,2006,2,3,2,5,60.0
Qué jugador argentino marcó un gol olímpico en un Mundial?,Ángel Di María,Juan Román Riquelme,Gabriel Batistuta,Diego Maradona,4,0,3,3,0.0
Qué club argentino es conocido como 'El Millonario'?,River Plate,Boca Juniors,Independiente,Racing Club,1,1,8,9,11.11111111111111
Qué jugador argentino ganó el Balón de Oro 2021?,Lionel Messi,Ángel Di María,Lautaro Martínez,Julian Álvarez,1,1,7,8,12.5
En qué año se fundó la AFA (Asociación del Fútbol Argentino)?,1912,1930,1893,1900,3,1,8,9,11.11111111111111
En qué año debutó Lionel Messi en la selección argentina?,2004,2005,2006,2003,2,1,6,7,14.285714285714285
Quién es el máximo goleador histórico de Boca Juniors?,Martín Palermo,Juan Román Riquelme,Carlos Tévez,Hugo Ibarra,1,4,1,5,80.0
Qué arquero argentino fue clave en la tanda de penales del Mundial 2022?,Emiliano Martínez,Sergio Romero,Juan Musso,Wilfredo Caballero,1,1,2,3,33.33333333333333
Qué técnico argentino ganó la Copa América 2021?,Lionel Scaloni,Alejandro Sabella,Marcelo Bielsa,José Pekerman,1,0,8,8,0.0
Cuál fue el resultado de la final de la Copa América 2021?,1-0,2-1,3-0,0-0,1,3,3,6,50.0
Qué jugador argentino fue Balón de Oro en 1986?,Carlos Tévez,Diego Maradona,Oscar Ruggeri,Jorge Valdano,2,5,4,9,55.55555555555556
Qué entrenador dirigió a Argentina en el Mundial de 1986?,César Luis Menotti,Carlos Bilardo,Marcelo Bielsa,José Pekerman,2,3,7,10,30.0
Qué equipo argentino ganó el primer título de la Copa Libertadores?,San Lorenzo,Boca Juniors,Independiente,Estudiantes,3,3,6,9,33.33333333333333
